quiz,answer,wrong1,wrong2,wrong3
9×5+7,52,51,50,53
2×6-7,5,3,6,4
8×4÷8,4,2,5,3
2+7×7,51,53,50,52
4×9-9,27,28,26,25
7+2+3,12,13,10,11
3×7×3,63,62,64,65
8+1-4,5,6,7,4
7+4+3,14,16,13,15
3-1+1,3,5,4,2
5-7+5,3,5,4,2
7-1+2,8,10,9,7
1+6×3,19,21,20,18
7×8+5,61,63,62,60
8+9×4,44,45,43,42
2-2+6,6,5,7,4
2×8+6,22,23,20,21
8+1-6,3,5,4,2
5+5×6,35,36,34,33
9+2×3,15,14,16,13
6+5×8,46,47,48,45
8×6+8,56,57,55,58
8+4-9,3,4,1,2
3-4+2,1,4,3,2
1+8+1,10,9,8,11
8×9+3,75,74,76,73
9+2-4,7,8,6,5
7÷7+8,9,10,11,8
7×2×3,42,40,41,43
4+6×8,52,51,53,54
2+1-1,2,1,3,4
3×9+3,30,31,28,29
1+7-2,6,7,4,5
1+1+2,4,3,6,5
3+9×7,66,67,65,64
7×9-3,60,61,59,62
4×4+2,18,20,17,19
2-3+4,3,2,1,4
2-3+7,6,7,4,5
4+8+2,14,15,13,12
6×7×2,84,85,82,83
4+8÷8,5,6,4,7
2-5+5,2,1,4,3
2×3-1,5,3,6,4
3×8+2,26,24,27,25
6+6÷3,8,6,9,7
9+7+6,22,23,21,20
2-4+3,1,4,2,3
3×4÷3,4,3,5,2
4×3-8,4,3,5,6
2×7÷2,7,9,6,8
8+4÷4,9,11,8,10
2-1+7,8,9,6,7
1+1+7,9,8,11,10
2+6÷2,5,4,3,6
5×4-2,18,20,19,17
8×3÷2,12,14,13,11
9×9+4,85,86,83,84
2+3+6,11,13,10,12
7×4+4,32,34,31,33
8+9-6,11,10,12,9
9×2-5,13,15,12,14
5+8-4,9,7,10,8
3×9-4,23,24,25,22
1+4+9,14,12,13,15
5×7-9,26,25,24,27
6×6-1,35,34,36,33
3×3-4,5,6,3,4
2-6+8,4,6,3,5
8-9+3,2,1,3,4
4×2×7,56,58,55,57
7+2+3,12,10,13,11
8+7×6,50,49,52,51
5×3+1,16,18,15,17
4-9÷9,3,2,4,5
1+9-2,8,9,10,7
3+1+1,5,6,4,7
5×8+1,41,42,40,43
6+3×2,12,11,13,10
6÷2+8,11,13,12,10
7-8÷4,5,3,6,4
3×3-3,6,7,8,5
3-6+7,4,3,6,5
8-4+2,6,5,4,7
8+3+6,17,18,15,16
1+6×3,19,18,20,17
3+9+1,13,12,11,14
4×8+8,40,41,39,42
9-4+1,6,4,7,5
6×7-5,37,35,38,36
3-2+9,10,12,9,11
7×7-4,45,46,44,47
9+8-8,9,7,8,10
4+3×4,16,15,17,18
5+9-9,5,4,7,6
8÷4×4,8,9,6,7
2×9-2,16,15,17,14
8×6÷3,16,17,14,15
4+8×8,68,66,67,69
3-3+6,6,5,8,7
5-4+1,2,4,3,1
8-8÷2,4,3,5,2
2+4-5,1,3,4,2
3×5÷3,5,4,7,6
5-2+3,6,4,7,5
8-5-1,2,4,1,3
2×6×8,96,97,95,98
9×2÷6,3,5,4,2
9+3×7,30,32,29,31
3+9+3,15,14,13,16
1+9+3,13,14,12,11
5×2+6,16,15,17,18
8-4-1,3,1,2,4
4×5-6,14,12,15,13
4+7×5,39,38,41,40
3+4×7,31,33,32,30
5+3-5,3,2,4,5
3-3+6,6,7,5,4
9-1+7,15,16,17,14
3-1-1,1,2,3,4
4-5+9,8,7,10,9
9÷9×5,5,6,4,7
4+8×7,60,59,61,62
6×4÷8,3,4,2,1
7-5+9,11,12,13,10
7+4×6,31,30,32,33
3×6×2,36,34,37,35
5+1+3,9,10,7,8
5×9+5,50,51,49,52
5×3+4,19,18,20,17
9-3+3,9,7,8,10
7÷7×9,9,10,8,7
3+7+5,15,14,16,13
6+7+4,17,16,18,15
4+3+9,16,17,15,18
5×9+2,47,45,46,48
4-6+3,1,2,4,3
4+6-4,6,7,5,4
6×7-8,34,35,33,36
6×4-4,20,18,21,19
8-6+1,3,5,4,2
3+7+1,11,13,12,10
2+7-2,7,9,8,6
4×5÷5,4,6,5,3
7+8+3,18,17,19,20
9+7+6,22,24,21,23
7×5+7,42,43,44,41
3×3-6,3,2,4,1
8-9+9,8,10,9,7
1+9+2,12,13,14,11
7×3+4,25,24,23,26
3-1+3,5,4,6,3
7×4+7,35,37,36,34
1+7+7,15,17,16,14
3×7+5,26,25,28,27
3+9×5,48,47,49,46
6×8-3,45,46,44,43
9+7-5,11,9,12,10
5+4-2,7,8,6,9
5×7-5,30,28,31,29
6÷2+3,6,5,8,7
9-8+7,8,6,7,9
8+8×8,72,70,73,71
1+9-4,6,7,5,4
6×2-3,9,7,8,10
8+1+8,17,18,19,16
9×6+3,57,58,56,59
2×7+9,23,24,22,25
1+6+1,8,7,9,6
2×8÷4,4,2,5,3
3×3+9,18,17,19,16
6×9-6,48,49,50,47
2×7×4,56,58,55,57
8+6-9,5,6,4,3
2×7-3,11,12,9,10
9-8÷2,5,6,7,4
6×8÷4,12,11,14,13
3×4×4,48,47,46,49
5÷5×2,2,4,3,1
8×6-8,40,42,41,39
2×6-7,5,4,3,6
3+4-1,6,8,7,5
9×9+3,84,83,85,82
9-1-6,2,3,1,4
5×9÷9,5,4,7,6
7+6+9,22,24,21,23
1+3÷3,2,1,4,3
1+1+1,3,4,5,2
8×8÷2,32,34,31,33
8×5÷4,10,12,11,9
1+9-3,7,6,8,5
6×4-5,19,20,18,21
2-2+7,7,8,6,9
4+6×9,58,59,56,57
8+2-6,4,6,5,3
3×8-9,15,16,14,13
5-3+3,5,6,7,4
7+2+8,17,16,15,18
3-4÷4,2,3,1,4
3+4+3,10,12,9,11
9-4+8,13,11,12,14
6-1+4,9,10,11,8
8×2-5,11,9,10,12
8×6-5,43,45,44,42
4+2×7,18,19,17,16
9×9-7,74,73,76,75
3+8+8,19,17,20,18
6-3+8,11,10,12,13
6×3-5,13,11,12,14
7×5+7,42,43,41,40
6÷2+1,4,5,3,2
4×9+7,43,44,42,45
8×7-5,51,52,50,53
