quiz,answer,wrong1,wrong2,wrong3
1+8-2,7,6,8,5
5+5+1,11,9,10,12
7+1-5,3,2,4,5
8-6+7,9,8,11,10
3×4-6,6,7,4,5
6-3+8,11,13,12,10
7+3×5,22,20,21,23
6+5×4,26,27,28,25
7+8-4,11,9,10,12
3×8-8,16,17,15,14
4+4-7,1,3,2,4
4-2+4,6,7,5,4
3-3+9,9,11,10,8
5+7-2,10,9,11,8
7+7×2,21,22,23,20
5+7+2,14,15,13,16
5-4+5,6,5,7,8
4×4-4,12,10,11,13
2×5+1,11,12,13,10
6-4+6,8,7,10,9
8×3-6,18,16,17,19
4+9-3,10,11,9,12
2×4-1,7,8,6,9
7-1+3,9,8,11,10
4+1-4,1,3,4,2
5×3+7,22,23,21,24
2×3+1,7,6,8,5
6×2+8,20,22,19,21
5+5+1,11,13,10,12
3+9×3,30,27,29,28
5-1-1,3,4,1,2
5+7-5,7,6,8,9
7-3+6,10,9,12,11
6+3-5,4,2,3,5
6+1-4,3,2,5,4
2-4+9,7,6,8,9
2-8+7,1,2,4,3
7-3+6,10,9,8,11
4+4+1,9,11,10,8
5-8+4,1,3,4,2
1-2+4,3,4,1,2
2×9-3,15,13,16,14
6+5-6,5,6,3,4
3+4-6,1,3,2,4
8+8+3,19,18,20,21
4-4+1,1,2,3,4
5×5-1,24,25,22,23
6×2-5,7,8,6,5
9×2-7,11,10,12,9
9-7-1,1,2,3,4
5+7-9,3,4,1,2
3×8-9,15,13,14,16
9-2-3,4,5,3,2
8+4×4,24,23,25,22
5+8×2,21,22,23,20
5×7-5,30,29,27,28
6×4-9,15,14,16,17
7×4-4,24,23,25,22
3-2+1,2,3,4,1
8-3+7,12,13,14,11
4+5+3,12,10,11,13
6+5-7,4,6,5,3
5+6+3,14,16,13,15
6+2×9,24,23,26,25
4×2+8,16,17,18,15
1-5+9,5,4,6,7
5+6+9,20,21,19,18
7+9+8,24,22,23,25
4-5+4,3,1,2,4
8+9-1,16,15,17,14
1+2+6,9,7,10,8
3+9×3,30,29,28,27
8+6+4,18,17,16,19
4+1-1,4,6,3,5
2×9+2,20,19,21,22
2+4-3,3,4,2,1
7+4-8,3,1,2,4
5×2+8,18,17,16,19
8+3-2,9,8,11,10
9-6+6,9,8,10,11
7-4+4,7,6,8,9
5-3+8,10,12,11,9
2×5+7,17,18,15,16
6+9+3,18,19,20,17
5+2×8,21,22,19,20
7-3+6,10,11,12,9
7+4-6,5,6,4,3
6+2×6,18,19,20,17
9+5×4,29,30,28,27
4+2+3,9,10,8,11
3×3+4,13,14,15,12
9-4+8,13,12,11,14
7+2×4,15,16,14,17
9×3-3,24,23,26,25
3+5+7,15,13,14,16
8+7+9,24,25,23,22
9+3+3,15,14,17,16
6+7-6,7,9,8,6
7+4+1,12,14,11,13
3+3-4,2,1,3,4
5+1+9,15,17,14,16
4-1-1,2,1,3,4
8+7-5,10,9,11,12
8-1+4,11,12,10,9
6+4×6,30,29,27,28
4+7-4,7,8,6,5
7+9+9,25,26,27,24
5×3-4,11,10,13,12
7-5+6,8,10,9,7
2-2+9,9,10,7,8
7×3-2,19,20,21,18
1+1+7,9,10,8,11
4+1+2,7,6,8,5
3×7-9,12,13,11,14
9+3-9,3,2,5,4
2+9×2,20,19,21,22
5×4+4,24,23,25,26
5-2+6,9,10,8,11
7+8-1,14,15,13,12
7-2×2,3,4,2,5
3×8-2,22,23,24,21
4+8+1,13,12,15,14
5+1-4,2,4,1,3
2×6+9,21,23,22,20
3×3+5,14,13,15,12
8+6-9,5,6,4,3
3+5+8,16,14,17,15
6+2-4,4,6,3,5
5+3+2,10,11,9,12
3×7+4,25,27,24,26
3+8-4,7,5,6,8
8+7+8,23,24,22,25
7×2+9,23,24,25,22
5-4+4,5,6,4,7
5+7+9,21,20,22,23
3+5+8,16,17,15,18
4+5-2,7,8,6,5
1+2×9,19,17,18,20
3+1+6,10,9,11,8
4+7+4,15,14,13,16
5-5+7,7,9,8,6
2-1+7,8,10,9,7
8-3+2,7,8,6,5
5-1-2,2,3,4,1
3-3+5,5,6,3,4
7-2+4,9,7,10,8
1+9-3,7,8,6,5
9-2×4,1,4,2,3
7+1+5,13,14,12,11
4-2+7,9,10,8,11
9-8+7,8,6,9,7
9-2-6,1,2,4,3
9×2+4,22,24,21,23
3+9+5,17,19,18,16
3+4+4,11,10,9,12
3×5+4,19,21,18,20
5×6-7,23,22,24,25
2+3+1,6,5,7,8
1+1+4,6,7,5,4
8-1+4,11,12,9,10
7-4+8,11,9,10,12
7-9+3,1,2,4,3
6×6-9,27,28,26,29
7+3×2,13,12,14,15
9×4-8,28,30,27,29
8+7+3,18,17,19,16
2×8+3,19,21,20,18
5+7-9,3,1,2,4
3×9-5,22,23,24,21
9-7+3,5,3,4,6
9-3-3,3,2,1,4
9+8+9,26,27,25,28
8+4+1,13,11,12,14
5+1+1,7,8,9,6
4×2-7,1,3,4,2
5+6×2,17,15,18,16
3+6+9,18,19,16,17
2+1+6,9,10,8,11
5-1+8,12,10,11,13
7+2×4,15,16,13,14
6+3-3,6,5,4,7
2+2+9,13,14,15,12
5+8-9,4,3,2,5
1+6-4,3,4,2,5
7+8-4,11,9,10,12
8-4+1,5,6,3,4
6×5-2,28,26,29,27
7×4+2,30,27,29,28
7+6+7,20,18,21,19
8+9-5,12,11,13,14
5+1-4,2,1,3,4
9+7+4,20,19,18,21
4+9+5,18,16,17,19
7-5+8,10,12,9,11
1-5+8,4,5,2,3
7+4-3,8,9,7,6
9-8+8,9,10,8,11
1-7+8,2,3,1,4
6+9-4,11,10,12,13
6+6+8,20,19,21,22
3+4-2,5,3,4,6
3+4×2,11,12,10,13
4+5-2,7,8,9,6
3×4+8,20,21,19,22
2+9-1,10,9,8,11
6×5-8,22,20,21,23
7+3-3,7,8,6,5
6+8-3,11,12,9,10
5+2-4,3,1,2,4
9-3-2,4,5,6,3
4+4+4,12,13,14,11
3+8-3,8,9,6,7
2×2+9,13,11,12,14
9×4-7,29,27,28,30
7+5-4,8,10,9,7
9-4+4,9,8,7,10
8×2-7,9,7,8,10
8+6-9,5,6,3,4
7+3-9,1,3,4,2
2+2×7,16,15,18,17
4-8+8,4,6,5,3
3+7+3,13,12,14,15
6+2-4,4,3,5,6
2+6×4,26,25,24,27
3+3×3,12,11,10,13
7-2-1,4,2,5,3
9-4-1,4,3,6,5
8+5+4,17,16,18,15
3+3+8,14,16,15,13
5×3-7,8,9,7,6
9+9-3,15,13,14,16
7+9+1,17,19,18,16
9-5+7,11,13,10,12
6×3-3,15,17,14,16
3+2×7,17,18,19,16
6+2-5,3,1,4,2
8-1+3,10,9,11,12
4+6+2,12,14,13,11
6+7×2,20,19,18,21
4+9+8,21,19,20,22
8+3-9,2,3,4,1
2×6+1,13,15,14,12
3×2-3,3,2,4,5
4×5+9,29,28,30,27
8-4+6,10,11,12,9
5×4-3,17,15,18,16
6-5+2,3,2,5,4
8+2×5,18,19,16,17
9×2-9,9,7,8,10
9-9+3,3,1,4,2
4×4-8,8,7,10,9
7+4×3,19,20,18,21
9+3+2,14,13,15,12
5+6×4,29,30,27,28
9×2+2,20,21,22,19
2-6+8,4,3,6,5
4×7+1,29,28,27,30
2+3×8,26,24,27,25
5+7-8,4,6,5,3
4+9×2,22,23,21,20
9+2-4,7,6,8,9
7+7-9,5,4,3,6
4+2+6,12,11,13,14
3+6-4,5,4,6,3
9+3×5,24,23,25,26
2+9+3,14,15,13,16
9×3-6,21,19,20,22
1+5-5,1,3,4,2
6+8+6,20,18,19,21
2-1+1,2,3,4,1
4+7+4,15,17,16,14
5+9+1,15,14,16,13
5×4+8,28,29,30,27
5+9+1,15,16,13,14
3+3+1,7,6,8,5
6-2+9,13,12,11,14
8-3+5,10,9,12,11
3×4-8,4,5,3,6
9+9+6,24,23,25,22
9+3-9,3,5,4,2
3×8+3,27,25,28,26
8+2+4,14,15,13,16
2+6+8,16,18,17,15
6-7+9,8,7,6,9
4+7-7,4,3,6,5
7-8+3,2,1,4,3
2×4+8,16,15,14,17
5×3+2,17,18,15,16
6+5+4,15,17,16,14
4×4-9,7,6,9,8
9×3+2,29,27,28,30
9+4+7,20,21,19,22
9+2+3,14,15,13,12
9-7+2,4,3,5,6
3+6-3,6,5,4,7
2+3+9,14,15,13,12
4×3+7,19,20,18,21
7+1+4,12,13,11,10
7-4+4,7,8,6,5
1+3+8,12,11,10,13
3+5-6,2,1,4,3
4+5-4,5,6,3,4
6+9+8,23,24,22,25
3+1+7,11,10,12,9
5-2+7,10,11,9,12
3×9+1,28,27,29,30
3×3-5,4,6,5,3
7+6+7,20,21,19,22
5-5+2,2,3,1,4
4×4+9,25,24,23,26
1+6-1,6,7,8,5
3×8-2,22,21,24,23
8-2×3,2,1,4,3
6+2-6,2,1,4,3
2-3+7,6,7,5,4
6+2×5,16,14,15,17
3+5×3,18,17,20,19
8+5+2,15,14,16,13
5+5+5,15,17,14,16
5×2+3,13,11,12,14
5-1+8,12,11,10,13
8×3+5,29,27,30,28
3×4+7,19,20,18,17
3-3+2,2,1,3,4
5+4+4,13,11,12,14
5+9-9,5,6,4,7
3-6+8,5,3,4,6
2+1+2,5,7,4,6
1+6+2,9,10,8,11
4+5-2,7,5,8,6
2×3-3,3,2,5,4
7×3+7,28,29,27,30
4×4-6,10,11,12,9
2-4+4,2,1,3,4
5+3-1,7,6,8,9
1+3+1,5,3,6,4
1+6×3,19,20,18,21
4×6-8,16,18,15,17
5+5+5,15,16,13,14
2+9+9,20,19,21,22
6+6+5,17,16,18,15
3+6+5,14,16,13,15
9+5×3,24,22,23,25
7+1+3,11,13,12,10
8+5-7,6,8,7,5
8+6×3,26,27,24,25
4+7×2,18,17,16,19
3-4+7,6,4,5,7
2×7+6,20,18,19,21
7-5+9,11,10,12,9
8-1-2,5,4,3,6
9+9+7,25,27,26,24
5-2-2,1,2,3,4
7+3×2,13,12,14,15
4×4-1,15,14,16,17
9×3-2,25,24,27,26
5-6+9,8,7,10,9
1+8×3,25,23,24,26
6+2+8,16,17,18,15
7+2+4,13,14,15,12
5+4×6,29,27,30,28
1+2×4,9,8,10,11
8-2+7,13,11,14,12
6-2+6,10,12,9,11
1-4+9,6,5,8,7
7+2-8,1,4,3,2
2×4+7,15,14,16,13
4-4+1,1,4,3,2
2+5-3,4,3,5,6
2+7-5,4,3,5,6
9+9+1,19,18,20,17
5+4+2,11,12,10,9
9+9-8,10,12,11,9
1+8+4,13,14,12,11
5×4-3,17,18,16,15
5+3+2,10,11,8,9
2×4-5,3,2,5,4
8+7+4,19,20,21,18
5+5×3,20,19,21,18
3-8+8,3,2,4,5
9+4+4,17,16,18,19
2+4×5,22,23,21,20
4+4+1,9,8,7,10
8-5+6,9,8,11,10
2×2+8,12,13,11,10
9+6-1,14,13,12,15
7+8×2,23,22,21,24
4+3+3,10,11,9,12
