type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED8_D001,,,,,,
dialogue_end,,,,,,,
sfx,running_outside.ogg,,,,,TRUE,
wait,,,0.8,,,,
bgm,Ending8.tres,,,,,,
image2,e8_sign_jp,,,,,,
image1,e8_001,fade,2,,,,
dialogue_start,dialogue_bubble_2_short,,,upper,,,
dialogue,ED8_D002,,,,,,
sfx,poop_water_long_1.ogg,,,,,,
dialogue,ED8_D003_1,,,,,,
dialogue,ED8_D003_2,,,,,,
image1,e8_002,,,,,,
sfx,gurgle3.ogg,,,,,,
sfx,fart13.wav,,,,,,
dialogue,ED8_D004,,,,,,
dialogue_end,,,,,,,
image1,e8_003,,,,,,
sfx,poop_water_long_2.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_2_short,,,upper,,,
dialogue,ED8_D005,,,,,,
image1,e8_004,,,,,,
sfx,farturgent1.ogg,,,,,,
dialogue,ED8_D006_1,,,,,,
dialogue,ED8_D006_2,,,,,,
remove1,,,,,,,
remove2,,,,,,,
dialogue_change,dialogue_bubble_0_short,,,upper,,,
sfx,running_outside.ogg,,,,,,
dialogue,ED8_D007,,,,,,
dialogue_end,,,,,,,
sfx,dooropen3.mp3,,,,,,
sfx,pantyoffquick.ogg,,1.2,,,TRUE,
sfx,sitdown2.ogg,,,,,TRUE,
wait,,,0.5,,,,
image1,e8_005,,,,,,
dialogue_start,dialogue_bubble_2,,,upper,,,
dialogue,ED8_D008,,,,,,
image1,e8_006,,,,,,
sfx,fart11.ogg,,,,,,
dialogue,ED8_D009,,,,,,
image1,e8_007,,,,,,
sfx,poopshort2.ogg,,,,,,
dialogue,ED8_D010,,,,,,
image1,e8_008,,,,,,
sfx,poopfart2.ogg,,,,,,
dialogue,ED8_D011,,,,,,
image1,e8_009,,,,,,
sfx,poop1.ogg,,,,,,
dialogue,ED8_D012,,,,,,
image1,e8_010,,,,,,
sfx,fart2.ogg,,,,,,
dialogue,ED8_D013,,,,,,
dialogue_end,,,,,,,
image1,e8_011,,,,,,
sfx,fart3.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_2,,,upper,,,
dialogue,ED8_D014,,,,,,
image1,e8_012,,,,,,
dialogue,ED8_D015,,,,,,
image1,e8_013,,,,,,
sfx,gurgle4.ogg,,,,,,
sfx,poopshort3.ogg,,,,,,
dialogue,ED8_D016,,,,,,
image1,e8_014,,,,,,
sfx,poop5_long.ogg,,,,,,
dialogue,ED8_D017,,,,,,
image1,e8_015,,,,,,
sfx,poop6_long.ogg,,,,,,
dialogue,ED8_D018,,,,,,
image1,e8_016,,,,,,
sfx,poop7.ogg,,,,,,
dialogue,ED8_D019,,,,,,
image1,e8_017,,,,,,
sfx,fart6.ogg,,,,,,
dialogue,ED8_D020,,,,,,
dialogue_end,,,,,,,
image1,e8_018,,,,,,
sfx,fart8.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_2,,,upper,,,
dialogue,ED8_D021,,,,,,
image1,e8_019,,,,,,
dialogue,ED8_D022_1,,,,,,
dialogue,ED8_D022_2,,,,,,
image1,e8_020,,,,,,
dialogue,ED8_D023,,,,,,
dialogue,ED8_D024,,,,,,
dialogue_end,,,,,,,
