type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED3_D001,,,,,,
dialogue_end,,,,,,,
sfx,running_outside.ogg,,,,,TRUE,
sfx,dooropen3.mp3,,,,,,
sfx,doorclose3.mp3,,0.9,,,TRUE,
bgm,Ending3.tres,,,,,,
image1,e3_001,,,,,,
image2,e3_censor_01,,,,,,
sfx,gurgle1.ogg,,,,,,
sfx,pantyoffslow.ogg,,,,,,
sfx,farturgent2.ogg,,,,,,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED3_D002,,,,,,
sfx,poopshort1.ogg,,,,,,
sfx,pantyoffquick.ogg,,,,,,
image1,e3_002,,,,,,
image2,e3_censor_02,,,,,,
dialogue,ED3_D003,,,,,,
sfx,fart2.ogg,,,,,,
image1,e3_003,,,,,,
image2,e3_censor_03,,,,,,
dialogue,ED3_D004,,,,,,
image1,e3_004,,,,,,
sfx,poop2.ogg,,,,,,
dialogue,ED3_D005,,,,,,
image1,e3_005,,,,,,
remove2,,,,,,,
sfx,fart3.ogg,,,,,,
dialogue,ED3_D006,,,,,,
image1,e3_006,,,,,,
sfx,plop01.ogg,,,,,,
dialogue,ED3_D007,,,,,,
dialogue,ED3_D008_1,,,,,,
dialogue,ED3_D008_2,,,,,,
dialogue_end,,,,,,,
image1,e3_007,,,,,,
image2,e3_censor_04,,,,,,
sfx,fartpanty3.ogg,,,,,,
sfx,poopshort3.ogg,,1,,,,
sfx,gurgle8.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED3_D009,,,,,,
image1,e3_008,,,,,,
image2,e3_censor_03,,,,,,
sfx,poop1.ogg,,,,,,
dialogue,ED3_D010,,,,,,
image1,e3_009,,,,,,
sfx,poop6_long.ogg,,,,,,
dialogue,ED3_D011,,,,,,
image1,e3_010,,,,,,
sfx,poop2.ogg,,,,,,
dialogue,ED3_D012,,,,,,
dialogue_end,,,,,,,
image1,e3_011,,,,,,
sfx,poop7.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED3_D013_1,,,,,,
dialogue,ED3_D013_2,,,,,,
image1,e3_012,,,,,,
remove2,,,,,,,
sfx,fart8.ogg,,,,,,
sfx,plop01.ogg,,,,,,
dialogue,ED3_D014,,,,,,
image1,e3_013,,,,,,
sfx,fart3_short3.ogg,,,,,,
dialogue,ED3_D015_1,,,,,,
dialogue,ED3_D015_2,,,,,,
image1,e3_014,,,,,,
dialogue,ED3_D016_1,,,,,,
dialogue,ED3_D016_2,,,,,,
image1,e3_015,,,,,,
dialogue,ED3_D017_1,,,,,,
dialogue,ED3_D017_2,,,,,,
dialogue,ED3_D017_3,,,,,,
dialogue_end,,,,,,,
