type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED4_D001,,,,,,
dialogue_end,,,,,,,
sfx,running_outside.ogg,,,,,TRUE,
wait,,,0.5,,,,
bgm,Ending4.tres,,,,,,
image1,e4_001,fade,1,,,TRUE,
sfx,farturgent2.ogg,,,,,,
sfx,gurgle2.tres,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,upper,,,
dialogue,ED4_D002,,,,,,
image1,e4_002,,,,,,
sfx,farturgent1.ogg,,,,,,
dialogue,ED4_D003_1,,,,,,
dialogue,ED4_D003_2,,,,,,
image1,e4_003,,,,,,
sfx,poop4.ogg,,,,,,
sfx,fartpanty3.ogg,,,,,,
dialogue,ED4_D004,,,,,,
image1,e4_004,,,,,,
image2,e4_censor_01,,,,,,
image3,e4_censor_02,,,,,,
sfx,fart2.ogg,,,,,,
sfx,pantyoffquick.ogg,,,,,,
sfx,poopfart3.ogg,,0.35,,,,
dialogue,ED4_D005,,,,,,
image1,e4_005,,,,,,
remove3,,,,,,,
sfx,grass1.ogg,,,,,,
sfx,fart3_short1.ogg,,,,,,
dialogue,ED4_D006,,,,,,
dialogue_end,,,,,,,
image1,e4_006,,,,,,
sfx,plop01.ogg,,,,,,
sfx,fart6.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,upper,,,
dialogue,ED4_D007_1,,,,,,
dialogue,ED4_D007_2,,,,,,
image1,e4_007,,,,,,
sfx,gurgle4.ogg,,,,,,
sfx,fart7.ogg,,,,,,
dialogue,ED4_D008,,,,,,
image1,e4_008,,,,,,
image3,e4_censor_02,,,,,,
sfx,poopshort2.ogg,,,,,,
dialogue,ED4_D009,,,,,,
dialogue_end,,,,,,,
image1,e4_009,,,,,,
sfx,poop6_long.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,upper,,,
dialogue,ED4_D010,,,,,,
image1,e4_010,,,,,,
sfx,poopfart2.ogg,,,,,,
sfx,poop7.ogg,,,,,,
sfx,grass2.ogg,,,,,,
dialogue,ED4_D011,,,,,,
image1,e4_011,,,,,,
remove3,,,,,,,
sfx,plop01.ogg,,,,,,
sfx,fartpanty2.ogg,,,,,,
dialogue,ED4_D012,,,,,,
image1,e4_012,,,,,,
sfx,plop02.tres,,,,,,
sfx,fart8.ogg,,,,,,
dialogue,ED4_D013,,,,,,
image1,e4_013,,,,,,
dialogue,ED4_D014_1,,,,,,
dialogue,ED4_D014_2,,,,,,
dialogue,ED4_D014_3,,,,,,
dialogue_end,,,,,,,
