type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED2_D001_1,,,,,,
sfx,running_outside.ogg,,,,,,
dialogue,ED2_D001_2,,,,,,
dialogue_end,,,,,,,
sfx,running_barefeet1.ogg,,,,,TRUE,
wait,,,0.6,,,,
bgm,Ending2.tres,,,,,,
image1,e2_001,,,,,,
sfx,fartpanty2.ogg,,,,,,
dialogue_start,dialogue_bubble_1,,,,,,
dialogue,ED2_D002,,,,,,
image1,e2_002,,,,,,
sfx,gurgle6.ogg,,,,,,
dialogue,ED2_D003_1,,,,,,
dialogue,ED2_D003_2,,,,,,
image1,e2_003,,,,,,
sfx,fart3_short3.ogg,,,,,,
dialogue,ED2_D004_1,,,,,,
dialogue,ED2_D004_2,,,,,,
image1,e2_004,,,,,,
sfx,poopshortfart3.ogg,,,,,,
dialogue,ED2_D005,,,,,,
dialogue_end,,,,,,,
image1,e2_005,,,,,,
sfx,poopfart7.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1,,,,,,
dialogue,ED2_D006,,,,,,
image1,e2_006,,,,,,
sfx,poopfart2.ogg,,,,,,
dialogue,ED2_D007,,,,,,
image1,e2_007,,,,,,
sfx,poop3.ogg,,,,,,
dialogue,ED2_D008,,,,,,
image1,e2_008,,,,,,
sfx,fart6.ogg,,,,,,
sfx,poopshort1.ogg,,,,,,
dialogue,ED2_D009,,,,,,
image1,e2_009,,,,,,
dialogue,ED2_D010,,,,,,
dialogue_end,,,,,,,
image1,e2_010,,,,,,
sfx,gurgle2.tres,,,,,,
sfx,fart12.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1,,,,,,
dialogue,ED2_D011,,,,,,
image1,e2_011,,,,,,
sfx,poop1.ogg,,,,,,
dialogue,ED2_D012,,,,,,
image1,e2_012,,,,,,
sfx,fart3.ogg,,,,,,
sfx,poop5_impact.ogg,,,,,,
dialogue,ED2_D013,,,,,,
image1,e2_013,,,,,,
dialogue,ED2_D014_1,,,,,,
dialogue,ED2_D014_2,,,,,,
dialogue_end,,,,,,,
