type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
bgm,Ending7.tres,,,,,,
image1,e7_001,,,,,,
sfx,gurgle8.ogg,,,,,,
sfx,fart12.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED7_D001,,,,,,
image1,e7_002,,,,,,
sfx,fart11.ogg,,,,,,
dialogue,ED7_D002_1,,,,,,
dialogue,ED7_D002_2,,,,,,
dialogue_end,,,,,,,
image1,e7_003,,,,,,
sfx,fartpanty3.ogg,,,,,TRUE,
sfx,poopshort1.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED7_D003,,,,,,
image1,e7_004,,,,,,
sfx,poop3.ogg,,,,,,
dialogue,ED7_D004,,,,,,
image1,e7_005,,,,,,
dialogue,ED7_D005,,,,,,
dialogue_end,,,,,,,
image1,e7_006,,,,,,
sfx,gurgle5.ogg,,,,,,
sfx,farturgent2.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED7_D006,,,,,,
image1,e7_007,,,,,,
sfx,poop5_impact.ogg,,,,,,
dialogue,ED7_D007,,,,,,
image1,e7_008,,,,,,
sfx,poopfart3.ogg,,,,,,
dialogue,ED7_D008,,,,,,
image1,e7_009,,,,,,
sfx,poopfart1.ogg,,,,,,
dialogue,ED7_D009,,,,,,
image1,e7_010,,,,,,
sfx,poopshortfart3.ogg,,,,,,
dialogue,ED7_D010,,,,,,
dialogue_end,,,,,,,
image1,e7_011,,,,,,
sfx,fart8.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1_short,,,,,,
dialogue,ED7_D011,,,,,,
image1,e7_012,,,,,,
dialogue,ED7_D012,,,,,,
dialogue,ED7_D013,,,,,,
dialogue_end,,,,,,,
