type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED1_D001_1,,,,,,
sfx,running_outside.ogg,,,,,,
dialogue,ED1_D001_2,,,,,,
dialogue_end,,,,,,,
sfx,running_barefeet1.ogg,,,,,TRUE,
sfx,door_open_toilet.mp3,,,,,TRUE,
bgm,Ending1.tres,,,,,,
image1,e1_001,,,,,,
sfx,gurgle6.ogg,,,,,,
sfx,pantyoffslow.ogg,,,,,,
dialogue_start,dialogue_bubble_1,,,,,,
dialogue,ED1_D002,,,,,,
sfx,sitdown1.tres,,,,,,
sfx,fart2.ogg,,,,,,
sfx,poop5_impact.ogg,,,,,,
image1,e1_002,,,,,,
image2,e1_censor_01,,,,,,
image3,e1_censor_02,,,,,,
dialogue,ED1_D003,,,,,,
sfx,poopfart2.ogg,,,,,,
sfx,water_splash_heavy2.mp3,,,,,,
image1,e1_003,,,,,,
dialogue,ED1_D004_1,,,,,,
dialogue,ED1_D004_2,,,,,,
sfx,fart3.ogg,,,,,,
image1,e1_004,,,,,,
remove3,,,,,,,
dialogue,ED1_D005,,,,,,
image1,e1_005,,,,,,
sfx,plop1.ogg,,,,,,
sfx,water_splash_heavy.mp3,,,,,,
dialogue,ED1_D006,,,,,,
sfx,poopshort1.ogg,,,,,,
image1,e1_006,,,,,,
image3,e1_censor_03,,,,,,
dialogue,ED1_D007,,,,,,
sfx,poop1.ogg,,,,,,
image1,e1_007,,,,,,
image3,e1_censor_02,,,,,,
dialogue,ED1_D008,,,,,,
sfx,plop01.ogg,,,,,,
sfx,fartpanty1.ogg,,,,,,
sfx,water_splash_heavy2.mp3,,,,,,
image1,e1_008,,,,,,
remove3,,,,,,,
dialogue,ED1_D009,,,,,,
sfx,poop7.ogg,,,,,,
image1,e1_009,,,,,,
image3,e1_censor_02,,,,,,
dialogue,ED1_D010,,,,,,
sfx,plop01.ogg,,,,,,
sfx,water_splash_heavy2.mp3,,,,,,
sfx,poop6_long.ogg,,,,,,
image1,e1_010,,,,,,
dialogue,ED1_D011,,,,,,
sfx,plop01.ogg,,,,,,
sfx,water_splash_heavy2.mp3,,,,,,
sfx,fart8.ogg,,,,,,
image1,e1_011,,,,,,
remove3,,,,,,,
dialogue,ED1_D012,,,,,,
image1,e1_012,,,,,,
dialogue,ED1_D013_1,,,,,,
dialogue,ED1_D013_2,,,,,,
dialogue_end,,,,,,,
