type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
sfx,plastic_bag_open.ogg,,,,,,
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED6_D001,,,,,,
dialogue_end,,,,,,,
sfx,pantyoffquick.ogg,,,,,TRUE,
wait,,,0.8,,,,
bgm,Ending6.tres,,,,,,
image1,e6_001,,,,,,
image2,e6_censor_01,,,,,,
sfx,gurgle2.tres,,,,,,
sfx,farturgent2.ogg,,,,,,
dialogue_start,dialogue_bubble_2_short,,,upper,,,
dialogue,ED6_D002,,,,,,
image1,e6_002,,,,,,
image3,e6_censor_02,,,,,,
sfx,poopshort2,,,,,,
dialogue,ED6_D003,,,,,,
image1,e6_003,,,,,,
image3,e6_censor_03,,,,,,
sfx,poop2.ogg,,,,,,
dialogue,ED6_D004,,,,,,
image1,e6_004,,,,,,
remove3,,,,,,,
sfx,fart3.ogg,,,,,,
dialogue,ED6_D005,,,,,,
image1,e6_005,,,,,,
sfx,fart4.ogg,,,,,,
sfx,plastic_bag_drop1.ogg,,,,,,
dialogue,ED6_D006,,,,,,
image1,e6_006,,,,,,
dialogue,ED6_D007,,,,,,
image1,e6_007,,,,,,
dialogue,ED6_D008,,,,,,
dialogue_end,,,,,,,
image1,e6_008,,,,,,
image3,e6_censor_04,,,,,,
sfx,gurgle7.ogg,,,,,,
sfx,poop3.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_2_short,,,upper,,,
dialogue,ED6_D009,,,,,,
image1,e6_009,,,,,,
image3,e6_censor_03,,,,,,
sfx,poop1.ogg,,,,,,
dialogue,ED6_D010,,,,,,
image1,e6_010,,,,,,
sfx,poop6_long.ogg,,,,,,
sfx,plastic_bag_drop4.ogg,,,,,,
sfx,plop01.ogg,,,,,,
dialogue,ED6_D011,,,,,,
image1,e6_011,,,,,,
sfx,poop4.ogg,,,,,,
dialogue,ED6_D012,,,,,,
image1,e6_012,,,,,,
remove3,,,,,,,
sfx,fart2.ogg,,,,,,
dialogue,ED6_D013,,,,,,
image1,e6_013,,,,,,
sfx,fart8.ogg,,,,,,
sfx,plop01.ogg,,,,,,
sfx,plastic_bag_drop3.ogg,,,,,,
dialogue,ED6_D014_1,,,,,,
dialogue,ED6_D014_2,,,,,,
image1,e6_014,,,,,,
dialogue,ED6_D015_1,,,,,,
dialogue,ED6_D015_2,,,,,,
image1,e6_015,,,,,,
dialogue,ED6_D016,,,,,,
dialogue_end,,,,,,,
